0.508,147.125,0.579,-9.484,0.0575,0.609,Eagles,4,0.027,Hotel California (2013 Remaster),40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,1976-12-08,0.00049400,1,2,391376,0.00574
0.89,133.52,0.502,-5.175,0.217,0.259,AC/DC,4,0.0364,The Razors Edge,57bgtoPSgt236HzfBOd8kj,Thunderstruck,1990-09-24,0.01170000,1,4,292880,0.000147
0.446,123.596,0.743,-7.807,0.337,0.278,The White Stripes,4,0.0683,Elephant,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,2003-04-01,0.11800000,0,4,232107,0.0039
0.43,91.844,0.515,-9.935,0.129,0.104,Radiohead,4,0.0372,Pablo Honey,70LcF31zb1H0PyJoS1Sx1r,Creep,1993-02-22,0.00013300,1,7,238640,0.0097
0.824,120.125,0.5,-5.846,0.0916,0.539,Nirvana,4,0.0388,Nevermind (Remastered),4P5KoWXOxwuobLmHXLMobV,Come As You Are,1991-09-26,0.00161000,0,4,218920,0.00016
0.767,96.483,0.592,-2.788,0.127,0.328,Red Hot Chili Peppers,4,0.027,Californication (Deluxe Edition),48UPSzbZjgc449aqz8bxox,Californication,1999-06-08,0.00165000,0,9,329733,0.0021
0.952,125.304,0.445,-5.321,0.112,0.624,Guns N' Roses,4,0.0522,Appetite For Destruction,7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,1987-07-21,0.08430000,1,6,356067,0.09
0.795,158.691,0.464,-9.267,0.399,0.612,The Rolling Stones,4,0.0926,Aftermath,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",1966-04-15,0.00244000,1,1,202267,0.0493
0.492,120.151,0.828,-9.744,0.128,0.789,Fleetwood Mac,4,0.0276,Rumours (Super Deluxe),0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,1977-02-04,0.00428000,1,0,257800,0.0644
0.881,158.066,0.413,-5.541,0.0805,0.364,Foo Fighters,4,0.0367,The Colour And The Shape,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,1997-05-20,0.00030800,0,11,250547,5.99E-05
0.716,94.379,0.535,-5.025,0.659,0.901,Joan Jett & the Blackhearts,4,0.0431,I Love Rock 'N' Roll (Expanded Edition),2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,1981-11-18,0.00000000,1,4,175173,0.326
0.322,93.503,0.475,-10.687,0.11,0.387,Kansas,4,0.0283,Point Of Know Return (Expanded Edition),6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,1977-01-01,0.00056000,1,7,206267,0.367
0.394,104.114,0.693,-15.882,0.247,0.721,Pink Floyd,4,0.0428,The Wall,4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",1979-11-30,0.00069400,1,0,238747,0.0782
0.899,152.445,0.475,-4.321,0.14,0.603,Bon Jovi,4,0.0637,Bon Jovi,0X1sqQ652p1sceKM2nJlIJ,Runaway,1984-01-23,0.00001910,0,9,230667,0.00375
0.943,85.064,0.442,-3.205,0.091,0.781,Green Day,4,0.0602,Dookie,6L89mwZXSOwYl76YXfX13s,Basket Case,1994-02-01,0.00000871,1,3,181533,0.00293
0.345,84.581,0.559,-13.496,0.141,0.458,Red Hot Chili Peppers,4,0.0459,Blood Sugar Sex Magik (Deluxe Edition),3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,1991-09-24,0.00010500,1,4,264307,0.0576
0.814,147.193,0.673,-5.411,0.343,0.728,Billy Idol,4,0.0367,Billy Idol,1gzIbdFnGJ226LTl0Cn2SX,White Wedding - Pt. 1,1982-01-01,0.00293000,1,9,252200,0.0134
0.767,127.361,0.532,-5.509,0.39,0.755,AC/DC,4,0.0574,Back In Black,2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,1980-07-25,0.00051300,1,7,210173,0.00287
0.863,136.302,0.723,-7.89,0.128,0.931,The Rolling Stones,4,0.0338,Out Of Our Heads,2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,1965-07-30,0.03170000,1,2,222813,0.0383
